id,text,author,link,category,date_of_publication,number_of_tokens,number_of_words_without_punctuation,number_of_types,number_of_links_inside_the_news,number_of_words_in_upper_case,number_of_verbs,number_of_subjunctive_and_imperative_verbs,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_modal_verbs,number_of_singular_first_and_second_personal_pronouns,number_of_plural_first_personal_pronouns,number_of_pronouns,pausality,number_of_characters,average_sentence_length,average_word_length,percentage_of_news_with_spelling_errors,emotiveness,diversity
3454,"A jovem jornalista que escreveu sobre Dilma e Cunha e ganhou 100 mil likes no facebook. .  Priscila Chammas é uma jornalista que escreveu um desabafo nas redes sociais e calou a ""petralhada"" . Abaixo a postagem que já recebeu mais de 100 mil curtidas:",None,https://www.diariodobrasil.org/a-jovem-jornalista-que-escreveu-sobre-dilma-e-cunha-e-ganhou-100-mil-likes-no-facebook/,tv_celebridades,04/12/2015,49,43,34,0,0,6,0,11,3,3,0,0,0,3,1.5,200,10.75,4.65116,0.0697674,0.352941,0.790698
2042,"Senadores usavam a Polícia Legislativa para atrapalhar as investigações da PF.  A Operação da PF no senado visa coibir parlamentares que usavam a polícia legislativa para fins pessoais.  Alguns senadores orientavam os policiais do senado para procurar e destruir as escutas telefônicas que foram instaladas pela PF com autorização judicial. Fernando Collor,  José Sarney,  Edison Lobão e Gleisi Hoffmann estão entre esses senadores que tentavam impedir o trabalho da Polícia Federal. O chefe da Polícia do Senado é o Presidente do Senado! A PF está salvando o país! Curitiba espera os senadores de braços abertos!",None,https://www.diariodobrasil.org/senadores-usavam-a-policia-do-senado-para-atrapalhar-as-investigacoes-da-pf/,politica,21/10/2016,104,95,69,0,4,18,0,33,4,0,2,0,0,5,1.8,506,19.0,5.32632,0.0,0.0784314,0.726316
1220,"TV Record ignora pronunciamento de Temer e exibe pica-pau. Audiência explodiu!.  A TV Record surpreendeu (positivamente) com sua programação na tarde de hoje.  Enquanto a mídia nacional se concentrava no pronunciamento do presidente Michel ""friboi"" Temer, o canal de Edir Macedo simplesmente ignorou a coletiva. Globo, SBT, Band e diversos canais de TV por assinatura interromperam a programação habitual para transmitir o pronunciamento de vossa (kkk) excelência, o presidente. Diversos internautas parabenizaram a Record através das redes sociais. Um deles, com milhares de seguidores, postou a seguinte mensagem: ""Gente, tirem da Globo agora mesmo. Esqueçam o Michel Temer. A Record está passando pica-pau. Vamos subir a audiência deles"" Outro agradeceu: ""Pica-pau na Record. Viva o Edir Macedo! Obrigado"" Um terceiro comentou: ""Assistindo o pronunciamento de vossa excelência, o pica-pau""",None,https://www.diariodobrasil.org/tv-record-ignora-pronunciamento-de-temer-e-exibe-pica-pau-audiencia-explodiu/,tv_celebridades,21/05/2017,164,133,86,0,4,22,3,45,7,6,2,0,0,8,2.81818,723,12.0909,5.43609,0.0150376,0.19403,0.646617
1682,"Há 7 anos, o filme ""Tropa de Elite 2"" já alertava: ""O SISTEMA é foda parceiro! Ainda vai morrer muito inocente"". .  O filme foi lançado há 7 anos, em 2010. Assista os 47 segundos finais do filme e perceba como a realidade que estamos vivendo hoje em dia foi retratada com fidelidade por Padilha: ""Agora me responda uma coisa. Quem você acha que sustenta tudo? É ... e custa caro, muito caro. O SISTEMA é muito maior do que eu pensava. Não é a toa que os traficantes, os policiais e os milicianos matam tanta gente nas favelas. Não é a toa que existem as favelas. Não é a toa que acontecem tantos escândalos em Brasília [...] entra governo, sai governo e a corrupção continua. Pra mudar as coisas, vai demorar muito tempo. O SISTEMA é foda! Ainda vai morrer muito inocente""",None,https://www.diariodobrasil.org/ha-7-anos-o-filme-tropa-de-elite-2-ja-alertava-o-sistema-e-foda-parceiro-ainda-vai-morrer-muito-inocente19/,politica,19/01/2017,171,140,89,0,4,34,3,32,6,14,6,2,0,12,1.82353,594,8.23529,4.24286,0.0,0.30303,0.635714
2001,"A ""alma mais honesta de SP"" defende a ""alma mais honesta do país"": ""Se quiser,  pode usar minha casa ou minha fazenda"".  ""Nós temos que ter respeito pela biografia do Lula"".  ""Aquilo que estão dizendo sobre o ""apartamentozinho"" dele lá no Guarujá [...] eu tenho minha casa lá. Se o Lula quiser morar de graça,  pode ir,  não tem problema"" disse Maluf. E outra coisa: ""Se ele precisar de um sítio,  eu ofereço minha fazenda pra ele"" confira: (entrevista para a TV Folha)",None,https://www.diariodobrasil.org/a-alma-mais-honesta-de-sp-defende-a-alma-mais-honesta-do-pais-se-quiser-pode-usar-minha-casa-ou-minha-fazenda/,tv_celebridades,01/11/2016,112,82,60,0,2,18,4,20,3,6,4,2,1,12,3.75,349,10.25,4.2561,0.0121951,0.236842,0.731707
1205,"Perito contratado por Temer fala, fala e não convence. .  Ricardo Molina, perito contratado pelo presidente Michel Temer com o intuito de desqualificar a prova (gravação) entregue por Joesley Batista À PGR, fala, fala e não diz nada. ""Se fosse na época da fita cassete, eu poderia dizer se é uma cópia, se é original, se é editada [...] enfim, seria mais fácil."" e continua ... ""Mas como estamos na era digital, é muito difícil saber se houve ou não uma edição (adulteração)  no áudio. É provável que alguns trechos tenham sido retirados"" Molina defende a tese de que a gravação é um lixo [...] e lixo deve ser jogado fora. Ele também atacou a PGR: ""A Procuradoria é ingênua, sim. Ingênua e incompetente."" O perito de Temer é famoso pela ""tentativa de assassinato"" (ironia) ocorrido com José Serra quando o mesmo foi vítima de uma bolinha de papel que atingiu sua cabeça em 2010. Na época, ele forneceu provas (não me pergunte como) que alegavam que José Serra foi atingido por algo mais pesado. O tucano chegou a fazer uma tomografia cerebral por conta da bolinha de papel. voltando ao perito ... Molina quer condenar o gravador e absolver Temer [...] prisão perpétua para o gravador!",None,https://www.diariodobrasil.org/perito-contratado-por-temer-fala-fala-e-nao-convence/,politica,22/05/2017,252,201,134,0,3,49,3,49,13,14,8,2,0,11,1.88889,916,7.44444,4.55721,0.0,0.27551,0.666667
2671,"Macri faz ""piada"" com Papa e autoriza doação de 16.666 milhões de pesos. O ""666"" é o número da besta.  O Papa Francisco rejeitou uma doação milionária do governo argentino.  O presidente da Argentina Maurício Macri havia autorizado [via decreto] uma doação de 16, 666 milhões de pesos (1, 1 milhão de dólares) para pagar os gastos da sede local da rede mundial educativa Scholas Occorrentes,  gerida pelo pontífice. A cifra ""666""  foi considerada uma ""piada de mau gosto"" e o Papa se mostrou perplexo com a doação ""imprevista"". O 666 [de acordo com a tradição cristã] representa o número da besta,  que faz referência a satanás. Uma publicação do jornal Vatican Insider disse que ""a quantia foi considerada excessiva em tempos em que a Argentina [país do Papa] enfrenta uma delicada situação econômica"",  porém não mencionou a piadinha de mau gosto do governo Macri.",None,https://www.diariodobrasil.org/macri-faz-piada-com-papa-e-autoriza-doacao-de-16-666-milhoes-de-pesos-o-666-e-o-numero-da-besta/,economia,13/06/2016,177,146,87,0,0,19,0,46,12,3,3,0,0,3,3.44444,683,16.2222,4.67808,0.0,0.230769,0.59589
3082,"Gilmar Mendes: ""Nomeação de Lula é uma barbárie,  uma bizarrice,  um momento caricato"".  É uma bizarrice,  não se tem vergonha [...] é um momento caricato que estamos passando.  A pancada do ministro Gilmar Mendes na cabeça dos meliantes que governam o país: ""... vem o senador Delcídio do Amaral afirmar que o ex-presidente Lula era o autor intelectual do mensalão e ele agora vai ser chefe de governo. Isso é de uma bizarrice! ..."" ""O quadro se agrava. E,  agora,  temos a nomeação do ex-presidente da República para o cargo de chefe da Casa Civil. E que vem na condição de ser um supertutor da presidente da República. Deixando este tribunal (STF) muito mal,  no contexto geral. ""É preciso muita desfaçatez para obrar desta forma das instituições. É preciso ter perdido aquele limite que distingue civilização de barbárie. É atitude de barbárie o que está fazendo com as instituições"". ""Estamos diante de um dos quadros mais caricatos que a nacionalidade já tenha enfrentado. Como último lance,  busca-se o ex-presidente em sua casa em São Bernardo do Campo para dar um respiro. É quase com uma acusação que essa casa será complacente com os contrafeitos.""",None,https://www.diariodobrasil.org/gilmar-mendes-nomeacao-de-lula-e-uma-barbarie-uma-bizarrice-um-momento-caricato/,politica,16/03/2016,230,195,121,0,6,31,1,56,9,13,6,0,0,17,1.52174,908,8.47826,4.65641,0.00512821,0.252874,0.620513
3150,"Deu branco! Gabinete de Dilma está em pânico e não sabe como reagir à denúncia de Delcídio.  Após a divulgação sobre a delação de Delcídio,  o gabinete da presidência da república já está em polvorosa.  Todas as informações que serão homologadas pelo STF contém fortes provas e indícios que poderão incriminar membros do alto escalão do governo federal e vários outros parlamentares do Congresso Federal. De acordo com fontes em Brasília,  durante o depoimento para a força-tarefa da Lava-Jato,  Delcídio estava muito nervoso e quis voltar atrás das declarações várias vezes. Ele estava muito abalado emocionalmente. Após a divulgação (pela Revista Isto É) da delação do senador,  políticos ligados ao governo estão tentando se movimentar para dar uma resposta para a população. O senador revelou os bastidores da corrupção na compra da refinaria de Pasadena e disse que citará mais nomes após a homologação do acordo. Delcídio afirmou que Dilma Rousseff de atuar três vezes para interferir na Operação Lava Jato por meio do Judiciário.",None,https://www.diariodobrasil.org/deu-branco-gabinete-de-dilma-esta-em-panico-e-nao-sabe-como-reagir-a-denuncia-de-delcidio/,politica,03/03/2016,180,167,118,0,2,26,0,50,6,7,3,0,0,9,1.44444,849,18.5556,5.08383,0.0,0.171053,0.706587
1193,"Temer convoca Forças Armadas para atuar na capital. .  O presidente Michel Temer acabou de assinar um decreto convocando as Forças Armadas para reforçar a segurança em Brasília. Após várias depredações que ocorreram na tarde de hoje, Temer decidiu não correr mais riscos. Cerca de 3 prédios na Esplanada foram danificados. O governo federal ainda não fez um balanço do prejuízo material. A PM estima que aproximadamente 35 mil pessoas ainda estão na capital. Quem sabe o exército já resolve tudo de uma vez só [...] expulsa os manifestantes e os políticos! Sonhar não custa nada!",None,https://www.diariodobrasil.org/temer-convoca-forcas-armadas-para-atuar-na-capital/,politica,24/05/2017,107,94,75,0,1,20,0,22,3,11,2,0,0,6,1.18182,468,8.54545,4.97872,0.0,0.333333,0.797872
262,"Lula manda recado a Jair Bolsonaro. O ex-presidente da República Luiz Inácio Lula da Silva pretende voltar à presidência
do Brasil, isto em 2018.
Apto a tal, imediatamente lançou sua pré-candidatura e muito possivelmente será o
representador oficial da legenda 13 (PT) na disparada presidencial.
A única coisa que pode dificultar é se o petista for condenado perante a segunda
instância através do caso do tríplex no Guarujá, no qual o ex-presidente é acusado de
ter recebido o imóvel como propina e ocultado o mesmo.
A partir do momento em que assumiu que possui a vontade de se tornar presidente
de novo, o petista vem fazendo vários congressos pelo Partido dos Trabalhadores e
tem reunido a diretoria do partido, a fim de unir toda a esquerda brasileira para
eleger o futuro presidente no ano que vem.
A empolgação do ex-presidente é devidamente forte pelo ato de comandar as
pequisas presidenciais, apenas que, a cada congresso, o petista polemiza um tanto
mais.
O deputado federal Jair Messias Bolsonaro é, de longe, o maior adversário de Lula
para as eleições de 2018, pelo fato de que nas pesquisas constantemente apresentase
em segundo lugar, em alguns casos, até encontra-se na primeira posição.
No momento em que o petista é desconsiderado pela capacidade de ser preso,
Bolsonaro encontra-se em primeiro isoladamente.
Em seu último comício pelo partido Lula sem se hesitar, falou uma coisa que soou
como um aviso para o pré-candidato adversário, Jair Bolsonaro.
O ex-presidente, ao discursar a respeito de Bolsonaro, falou de uma forma
desprezadora, afirmando que a única coisa desagradável que a extrema-direita tirou
foi ""parir"" o Bolsonaro, palavra que talvez seja considerada ofensiva. Lula é o atual candidato oficial pelo PT e apenas não anunciou sua candidatura pelo
acontecido que o Tribunal Superior Eleitoral (TSE) não permite que pré-candidatos
anunciem a candidatura oficial antes do tempo certo estabelecido pelo órgão. ",None,http://www.thejornalbrasil.com.br/2017/10/lula-manda-recado-jair-bolsonaro.html,politica,2017-10-08,348,321,187,0,3,51,4,77,23,19,9,0,0,21,2.25,1585,26.75,4.93769,0.00311526,0.328125,0.582555
3515,"Em congresso do PT,  Lula demonstra obsessão: ""Seria ideal ganhar a presidência, os 27 estados e as prefeituras"".  Em matéria publicada no Globo,  Lula revelou sua verdadeira face e uma obsessão doentia pelo poder..  (por Patrícia Carvalho) Luiz Inácio demonstrou,  através de suas palavras,  que não pensa no povo,  como ele prega pelos quatro cantos do país. Não sei se a palavra ideal seria ""prega"" [...] acho que talvez a palavra ""PRAGA"" se encaixasse melhor na frase. Fugindo um pouco do assunto e ilustrando a matéria [...] Em meados de 1935/1940,  havia um ciadão alemão que era um grande líder carismático,  popular, religioso e tinha uma altíssima popularidade. Suas principais características eram: 1  Era um grande orador (muito carismático e eloqüente). 2  Era Ultra Nacionalista 3  Era Lider-Nato Alguém se arrisca a dizer o nome? Pois bem,  o cidadão de chamava Adolf Hitler. Não estou comparando Lula ao Hitler, e sim tentando mostrar que não devemos julgar um livro pela capa. Lula jamais chegará a ser um assassino como Hitler,  mas também não é o santo salvador que ela tenta vender em seus discursos ultrapassados e repetitivos. Voltando ao assunto do post [...] Se Lula quisesse um futuro digno para o Brasil,  pensaria,  e muito,  para dizer que a esquerda deve governar todo o país. Um país que se julga democrático deve unir forças de todos os lados,  sejam elas (as forças) petistas, democratas, peemedebistas,  enfim,  Lula está demonstrando um verdadeiro espírito comunista,  egoísta,  obsessivo e porque não dizer,  doentio! trecho da matéria do Globo Em um congresso nacional da juventude do Partido dos Trabalhadores,  ele afirmou que o partido precisa priorizar as eleições municipais do ano que vem. Lula também levantou suspeitas sobre as doações de dinheiro feitas ao PSDB por empreiteiros ligados à Lava-Jato. "" Quero saber se o dinheiro do PSDB foi buscado numa sacristia. Então o PSDB ia lá no cofre e pegava dinheiro limpo? Até porque tudo o que se fala tem que se ter prova. Não podemos permitir que chamem petista de ladrão""  disse. Lula também atacou o governador tucano Geraldo Alckmin (PSDB-SP) por fechar escolas no estado. Enquanto a gente está se matando para abrir mais escolas,  o governo de São Paulo está fechando. É uma contradição Ele defendeu que o partido priorize as eleições do próximo ano: Não tem 2018 se a gente não tiver 2016 ,  nós precisamos construir 2016. O ideal para um partido é que ele pudesse disputar e ganhar a presidência,  27 governadores,  prefeituras. Seria maravilhoso que só a esquerda pudesse fazer isso,  mas não é possível,  porque o povo não faz aquilo que a gente quer,  faz aquilo que ele quer.",None,https://www.diariodobrasil.org/em-congresso-do-pt-lula-demonstra-obsessao-seria-ideal-ganhar-a-presidenciaos-27-estados-e-as-prefeituras/,politica,20/11/2015,522,443,265,0,8,91,8,111,31,29,13,0,1,33,2.54839,2108,14.2903,4.75846,0.00451467,0.29703,0.598194
1075,"O diálogo vergonhoso de Temer e Joesley: ""Funcionou super bem ... eu venho aqui onze horas, meia noite..."". .  Para quem ouve a gravação abaixo, não resta a menor dúvida de que Temer indicou o ex-deputado Rodrigo Rocha Loures como seu intermediário em futuros encontros ""financeiros"" com Joesley Batista. Loures recebeu R$ 500 mil em propinas numa mala que ele mesmo devolveu à PF após ser flagrado por câmeras. Um detalhe assustador é que o executivo da JBS e delator Ricardo Saud confirmou que seria entregue 1 mala por semana .... é isso mesmo que você leu ... uma mala de R$ 500 mil por semana em troca de favores para Joesley em órgãos do governo (especificamente o CADE). abaixo a transcrição do áudio em que Temer e Joesley citam Rocha Loures: Joesley: (Inaudível) Eu queria falar como é que é, pra falar contigo, qual é a melhor maneira, porque eu vinha falando através do Geddel, eu não vou lhe incomodar, evidentemente... Joesley: Eu sei disso, por isso é que.. Temer: (Inaudível) É o Rodrigo. Joesley: É o Rodrigo? Então ótimo. Temer: (Inaudível) passar para o Meirelles (inaudível) da mais estrita confiança. Joesley: Prefiro combinar assim, se for alguma coisa que eu precisar eu falo com o Rodrigo, se for assunto desses aí... Temer: (Inaudível) Joesley: Funcionou super bem à noite ...  onze horas da noite, meia noite, dez e meia ... eu venho aqui, a gente conversa uns dez minutinhos, uma meia horinha e vai embora.",None,https://www.diariodobrasil.org/o-dialogo-vergonhoso-de-temer-e-joesley-funcionou-super-bem-eu-venho-aqui-onze-horas-meia-noite/,politica,28/06/2017,302,242,140,0,7,41,3,61,16,22,4,8,0,20,1.62162,1104,6.54054,4.56198,0.0,0.372549,0.578512
397,"Malafaia defende Bolsonaro e acaba com a Folha/SP: ""Jornalismo sujo, esquerdopatas. Vão elegê-lo no 1o turno"".  O pastor Silas Malafaia conseguiu resumir, em pouco mais de 1 minuto, a palhaçada que a grande mídia tem feito contra o deputado Jair Bolsonaro.  Todos sabem que FHC, Lula e Dilma foram muitos generosos com os grandes grupos de mídia. Para se ter uma ideia, somente o grupo da Folha de SP chegou a receber mais de R$ 200 milhões durante as gestões petistas. ( saiba mais ... ) Outros veículos de comunicação (como a Veja, a Época, a Exame e outros) também se fartaram de ""patrocínios públicos"" durante anos. Eis que agora, com os cofres vazios, eles decidiram investir contra a candidatura de Jair Bolsonaro. Na última semana, a Folha de SP publicou uma matéria para tentar ludibriar os eleitores brasileiros. E o mais impressionante é que todas as outras grandes mídias também entraram nesse barco furado. Malafaia conseguiu resumir bem o que aconteceu: ""Eu não sou advogado do Bolsonaro, mas a Folha juntou o patrimônio de toda a família do deputado para dar uma ideia de grandeza nos imóveis da família [...] para tentar (de uma forma malandra) colocar dúvida sobre a integridade do cara. O Próprio Rodrigo Janot (ex-PGR) já havia recebido essa denúncia e arquivado por falta de provas. Que jornalismo é esse? Depois reclamam das redes sociais""",None,https://www.diariodobrasil.org/malafaia-defende-bolsonaro-e-acaba-com-a-folha-sp-jornalismo-sujo-esquerdopatas-vao-elege-lo-no-1o-turno/,politica,09/01/2018,269,228,154,1,6,33,1,64,16,14,3,1,0,19,2.27778,1078,12.6667,4.72807,0.0,0.309278,0.675439
1049,"Mais uma gafe no exterior  Direto da Alemanha, Temer diz que ""está fazendo o DESEMPREGO voltar"". .  Em um vídeo divulgado no twitter, o presidente (que está em Hamburgo, na Alemanha) declarou que mostrou aos líderes mundiais do G20 os bons resultados do Brasil. O que ninguém esperava é que Temer tivesse um ataque de sinceridade. Repare que, no minuto 1:04 do vídeo abaixo, o presidente erra sua fala e diz que está FAZENDO VOLTAR O DESEMPREGO NO BRASIL! É impressionante ... precisou errar pra ser honesto. Parabéns pela sinceridade, sr. Presidente!",None,https://www.diariodobrasil.org/mais-uma-gafe-no-exterior-direto-da-alemanha-temer-diz-que-esta-fazendo-o-desemprego-voltarg20/,politica,07/07/2017,109,91,68,0,7,18,2,26,5,3,1,0,0,6,1.8,436,9.1,4.79121,0.0,0.181818,0.747253
324,"Vídeo que mostra promotor prendendo prefeito alcança 20 milhões de visualizações nas redes sociais.  Este episódio ocorreu em 2012, porém a geração ""WhatsApp"" está fazendo o vídeo bombar nas redes.  Um carregamento ilegal de madeira (de propriedade do senhor prefeito da cidade de Iaciara/GO) foi apreendido. Ao saber da apreensão, o prefeito foi até o local onde o caminhão estava e o levou para casa. Ao tomar conhecimento, o Promotor Douglas Chegury foi à prefeitura ""bater um papinho"" com o chefe do executivo local. Após um bate-boca, o prefeito foi preso em flagrante e algemado em praça pública, por desobediência. Veja o que aconteceu :",None,https://www.diariodobrasil.org/video-que-mostra-promotor-prendendo-prefeito-corrupto-alcanca-20-milhoes-de-visualizacoes-nas-redes/,tv_celebridades,25/01/2018,122,106,78,0,1,21,1,32,4,4,3,0,0,5,2.28571,518,15.1429,4.88679,0.0,0.150943,0.735849
659,"A China acordou! Presidente Xi Jinping autoriza plano estratégico para capturar Kim Jong-un.  A situação se agravou para o regime de Kim e a Coreia do Norte passou a ser vista como uma ameaça até mesmo pelo parceiro histórico ... a China.  Na tentativa de evitar uma guerra nuclear, o presidente Xi Jinping autorizou que a inteligência da China possa traçar um plano estratégico para capturar o déspota Kim Jong-un. O líder da Coréia do Norte alertou, na última quinta-feira, que está pronto para atacar Washington e Seul. Apesar da aliança de longa data, a China está cada vez mais preocupada com a Coreia do Norte e o medo de uma guerra mundial (enfim) atingiu o país, que até o momento apenas observava o aumento das tensões entre Trump e Kim Jong-un. Uma guerra nuclear terminaria, inevitavelmente, com uma onda de milhares de refugiados da Coréia do Norte para a China. O professor Malcolm Chalmers, especialista em defesa do Royal United Services Institute (RUSI), disse que a China quer uma mudança urgente no regime norte-coreano e para isso não descarta que Kim Jong-un seja eliminado e substituído por outro membro da família: ""Kim descobriu que a China está tentando encontrar outro membro da família para substituí-lo e isso enfureceu o líder norte-coreano. O presidente Xi Jinping está mais interessado em uma mudança de líder do que mudanças no regime comunista."" explicou Chalmers. Ele admitiu que, mesmo que Kim Jong-un seja removido da liderança, o fato não levará à total desnuclearização da Coréia do Norte: ""Seria difícil para qualquer líder norte-coreano se inclinar completamente para a China."" disse. A mídia estatal norte-coreana emitiu uma declaração dizendo: ""A quantidade colossal de danos causados   pelas sanções dos EUA e da China ao desenvolvimento de nosso estado e ao sustento das pessoas está além do cálculo de qualquer pessoa. É uma ilusão (liderada por idiotas) achar que tais sanções possam funcionar na RPDC. O mundo pagará muito caro por isso.""",None,https://www.diariodobrasil.org/a-china-acordou-presidente-xi-jinping-autoriza-plano-estrategico-para-capturar-kim-jong-un/,politica,04/10/2017,367,336,179,0,4,52,5,92,19,11,7,0,0,16,1.72222,1600,18.6667,4.7619,0.0,0.208333,0.532738
3189,"Joice Hasselmann: "" Lula está me processando por crime contra a honra. Mas que honra? Não entendo"".  O vídeo é um bate-papo entre o fundador do Revoltados Online,  Marcelo Reis e a jornalista (ex-Veja) Joice Hasselmann.  Durante encontro ocorrido no prédio onde Joice reside,  a jornalista soltou algumas farpas contra o ex-presidente petista Luiz da Silva "" Lula é um dos homens mais honestos do universo. É a Madre Tereza do Guarujá "" "" Ele está me processando e vai ter um encontro muito interessante comigo nos tribunais porque ele quer me processar por crime contra a honra. Que honra? "" "" Lula,  eu acho que você ainda não entendeu. Eu não tenho medo de você """,None,https://www.diariodobrasil.org/joice-hasselmann-lula-esta-me-processando-por-crime-contra-a-honra-mas-que-honra-nao-entendo/,tv_celebridades,19/02/2016,132,113,80,0,1,18,0,31,3,7,3,6,0,13,2.71429,520,16.1429,4.60177,0.0,0.204082,0.707965
2090,"Após cantar 3 músicas,  Anitta se desentende com fãs e encerra show. Público reagiu e jogou bebidas no palco.  Um show com a cantora Anitta acabou em confusão na madrugada de hoje (12).  De acordo com matéria do G1,  a cantora entrou no palco próximo das 4h da manhã,  encerrou o show e foi atingida por latas e copos de bebidas jogadas pelos espectadores. A organização do evento (que foi realizado em Cabo Frio/RJ) confirmou que alguns fãs tentaram agredir a cantora em uma área reservada. O G1 ainda confirmou que a artista subiu no palco às 3:58,  cantou 3 músicas e se retirou às 4:05. Antes do show,  a cantora teria recebido alguns fãs em seu camarim e tratou todos com extrema grosseria. A confusão só foi encerrada após a cantora deixar o local com ajuda de seguranças.",None,https://www.diariodobrasil.org/apos-cantar-3-musicas-anitta-se-desentende-com-fas-e-encerra-show-publico-reagiu-e-jogou-bebidas-no-palco/,tv_celebridades,12/10/2016,156,142,91,1,3,26,0,43,2,5,4,0,0,7,1.55556,613,15.7778,4.3169,0.0,0.101449,0.640845
518,"Zuckerberg chamou brasileiros de bandidos: ""O Brasil é o país das ilegalidades"".  Quem assistiu o filme A Rede Social sabe muito bem o que aconteceu entre o CEO Mark Zuckerberg e o brasileiro Eduardo Saverin, cofundador da rede.  (Amanda Nunes Brückner para o Diário do Brasil) Ambos ficaram famosos (além de outros 5 personagens) pelas batalhas judiciais envolvendo milhões de dólares provenientes da maior rede social do mundo. Correspondências inéditas, que foram divulgadas pelo site americano Business Insider, mostram a fundo os bastidores do desenvolvimento do site e detalha como ocorreu a saída do brasileiro Eduardo Saverin do comando da empresa. Em uma dessas correspondências, Zuckerberg se refere a Saverin e outros colegas de faculdade (brasileiros) como ""bandidos brasileiros"". No ano de 2012 , quando o facebook se preparava para lançar as IPO""s (Oferta Pública Inicial), o site Business Insider publicou alguns trechos de emails (imagem abaixo) de Zuckerberg se preparando para retirar Saverin do negócio: ""Agora que não vou voltar para Harvard, não preciso me preocupar em ser espancado por bandidos brasileiros"" , escreveu. Mark afirmava que Eduardo seria rico  já que o Brasil é um país de ilegalidades (imagem abaixo). Ele também teria dito que sua intenção era tomar conta de todo o negócio sozinho: ""Comprarei toda a companhia que criamos e darei uma quantidade pequena de ações para Saverin. Terei todo controle do novo negócio"" , disse Mark a Parker. Depois de uma extensa briga na justiça, Eduardo conseguiu ficar com 4% do Facebook. Em novembro de 2016, ele possuía um patrimônio total de US$ 7,2 bilhões (R$ 22,3 bilhões), segundo publicação da revista inglesa ""The Global Recruiter"". O brasileiro abriu mão de sua cidadania norte-americana e se tornou um cidadão de Cingapura, onde vive atualmente. Vale ressaltar que os brasileiros correspondem a 139 milhões de usuários da rede social, ficando atrás da Índia e dos Estados Unidos. Pois é sr. Zuckerberg, são quase 140 milhões de ""bandidos"" enchendo suas burras de dinheiro. Quem tem o direito de falar mal de nosso país somos nós (brasileiros) que pagamos altíssimos impostos e não temos retorno algum. Estrangeiros que usam nossa nação para fazer fortuna têm mais é que se ajoelhar perante nosso povo. Vai pastar Zuckerberg!",None,https://www.diariodobrasil.org/dono-do-facebook-chamou-brasileiros-de-bandidos-e-disse-que-o-brasil-e-um-pais-de-ilegalidades/,tv_celebridades,19/11/2017,434,369,236,0,4,60,0,112,18,20,5,1,1,32,3.61111,1865,20.5,5.0542,0.0135501,0.22093,0.639566
649,"Ri Yong Ho disse que guerra está declarada: ""Derrubaremos os bombardeiros norte-americanos"". .  O ministro das Relações Exteriores da Coréia do Norte disse hoje (5) que o presidente Donald Trump ""declarou guerra"" a seu país e que o regime de Kim Jong Un considera disparar contra qualquer aeronave que cruzar o espaço aéreo norte-coreano. ""Uma vez que os EUA declararam guerra ao nosso país, teremos todo o direito de fazer contramedidas, incluindo o direito de derrubar os bombardeiros dos EUA, mesmo quando ainda não estiverem dentro da fronteira do espaço aéreo do nosso país"" , disse o ministro das Relações Exteriores, Ri Yong Ho, a repórteres Em Nova York. E continuou: ""No fim de semana passado, Trump afirmou que nossa liderança (se referindo a Kim Jong-un) não iria durar muito tempo. Ele desrespeitou nosso líder e nosso país."" ""Através de uma luta tão prolongada e árdua, agora estamos finalmente a poucos passos de impormos nossa força nuclear ao mundo"" , disse Ri Yong Ho. Pyongyang está pronta para se defender caso os EUA mostrem qualquer sinal de realizar uma ""operação decapitante em nossa sede ou ataque militar contra nosso país"". encerrou.",None,https://www.diariodobrasil.org/ministro-da-coreia-disse-que-guerra-esta-declarada/,sociedade_cotidiano,05/10/2017,224,191,122,0,3,32,3,48,8,10,1,0,0,18,3.3,929,19.1,4.86387,0.0052356,0.225,0.638743
